cod_prov,provincia,comunidad_autonoma,temporada_alta,presion_turistica_hab,estacionalidad_cv,ocupacion_hotel_media,ocupacion_hotel_pico,ocupacion_hotel_finsemana,poblacion,viajeros_hotel_anual,estancia_media_hotel,plazas_hotel_media,puntos_turisticos_ine,adr_medio,revpar_max,plazas_rural_media,ocupacion_rural_media,viajeros_rural_anual,estancia_media_rural,hoteles_osm,restaurantes_osm,atracciones_osm,museos_osm,total_poi_osm,cluster_saturacion_id,cluster_saturacion,activos_culturales,capacidad_rural_libre,margen_hotel_valle,cluster_potencial_id,cluster_potencial,indice_saturacion,indice_potencial,politica_recomendada
43,Tarragona,Cataluña/Catalunya,M08,4.03926990948658,0.6224724117109081,51.51,82.86,59.14,822309.0,2757689.0,3.48,44969.0,1,94.52833333333332,135.27,2292.0,18.24,39705.0,2.37,24,208,17,15,264,2,Grandes Metrópolis,32,1873.9392,21805.4681,0,Alto Potencial Cultural y Desestacionalizable,1.4832585086287,0.23796244554344456,Desestacionalización y Gestión de Flujos
44,Teruel,Aragón,M08,3.431862945482924,0.2473945486297583,34.92,47.14,45.6,134545.0,438123.0,1.99,7071.0,2,75.55666666666666,46.2,3033.0,17.07,50855.0,2.55,2,4,3,2,11,0,Desaprovechado,5,2515.2669,4601.8068,2,Potencial Ecoturístico y Rural de Interior,-0.30461643655368337,-0.7658598637750635,Turismo Pausado / Ecoturismo de Nicho
45,Toledo,Castilla-La Mancha,M10,1.3158937867474485,0.2222859851374357,41.53,51.89,52.24,709403.0,832707.0,1.69,9961.0,1,83.94,60.95,3335.0,17.51,72720.0,2.04,45,189,21,17,272,0,Desaprovechado,38,2751.0415,5824.1967,0,Alto Potencial Cultural y Desestacionalizable,-0.6676409712573291,0.10612159906655694,Objetivo Prioritario: Inversión y Diversificación
46,València/Valencia,Comunitat Valenciana,M08,1.4501821333234466,0.1771371939450677,59.32,76.19,67.35,2589312.0,3089514.0,2.43,39576.0,2,102.94083333333332,101.31,2276.0,16.31,35160.0,2.47,126,1481,34,44,1685,2,Grandes Metrópolis,78,1904.7844,16099.516800000001,0,Alto Potencial Cultural y Desestacionalizable,-0.14185478122453635,0.5612887450633892,Objetivo Prioritario: Inversión y Diversificación
47,Valladolid,Castilla y León,M08,1.386266970373209,0.1491376960107247,45.59,51.88,55.99,519361.0,624119.0,1.74,7451.0,1,82.40583333333333,60.62,1741.0,16.36,38270.0,1.92,39,398,36,15,488,0,Desaprovechado,51,1456.1724000000002,4054.0891,0,Alto Potencial Cultural y Desestacionalizable,-0.8082176228799951,0.049936904181438924,Turismo Pausado / Ecoturismo de Nicho
48,Bizkaia,País Vasco/Euskadi,M08,1.5563164560690406,0.2324533520562717,57.04,79.25,66.28,1154334.0,1567161.0,1.96,16203.0,1,108.8375,116.54,1156.0,26.35,23564.0,2.52,81,671,22,23,797,2,Grandes Metrópolis,45,851.3939999999999,6960.8088,0,Alto Potencial Cultural y Desestacionalizable,0.07117139509491248,0.060450666567586964,Alerta de Saturación: Contención y Desvío de Demanda
49,Zamora,Castilla y León,M08,1.2839176174248037,0.2878872802209109,32.61,51.27,40.4,168725.0,197822.0,1.65,2993.0,1,71.42,41.71,2288.0,14.62,40236.0,2.08,0,0,0,1,1,0,Desaprovechado,1,1953.4944,2016.9826999999998,2,Potencial Ecoturístico y Rural de Interior,-0.5506753338687295,-1.299492887936307,Turismo Pausado / Ecoturismo de Nicho
50,Zaragoza,Aragón,M08,1.6479618627074004,0.1570965176699248,49.56,55.64,59.67,967452.0,1408789.0,1.74,15327.0,1,77.81166666666667,60.11,1608.0,17.43,25222.0,2.48,60,833,10,52,955,0,Desaprovechado,62,1327.7256,7730.938799999999,0,Alto Potencial Cultural y Desestacionalizable,-0.6467782978824821,0.22523252771425376,Objetivo Prioritario: Inversión y Diversificación
51,Ceuta,Ciudad Autónoma de Ceuta,Sin datos,0.75246955709616,0.2613471972374798,49.56,74.03,53.33,83517.0,0.0,0.0,727.0,0,79.8575,53.77,0.0,0.0,0.0,0.0,8,43,3,5,59,0,Desaprovechado,8,0.0,366.69879999999995,3,Capacidad Territorial Reducida,-0.15730345718335179,-0.8238360529424069,Turismo Pausado / Ecoturismo de Nicho
52,Melilla,Ciudad Autónoma de Melilla,Sin datos,0.8005123984187524,0.1746082268281807,45.41,62.64,55.97,86261.0,0.0,0.0,819.0,0,83.765,69.68,0.0,0.0,0.0,0.0,8,26,17,11,62,0,Desaprovechado,28,0.0,447.0921,3,Capacidad Territorial Reducida,-0.6093108932797556,-0.6631140056448366,Turismo Pausado / Ecoturismo de Nicho
