COD_PROV;PROVINCIA;COD_CA;COMUNIDAD_AUTONOMA;CAPITAL;Perc_Provincia;Perc_VALOR PERNOCTACIONES;Perc_VALOR VIAJERO;Perc_PERIODO PERNOCTACIONES;Perc_PERIODO VIAJERO;COD_INE;Ratios_Provincia;Ratios_Periodo ADR Dato;Ratios_Periodo ADR Tasa Var;Ratios_Periodo RevPar Dato;Ratios_Periodo RevPar Tasa Var;Ratios_Valor ADR Dato;Ratios_Valor ADR Tasa Var;Ratios_Valor RevPar Dato;Ratios_Valor RevPar Tasa Var;Ratios_ADR Anual Medio;cod_prov;Metricas_provincia;Metricas_poblacion;Metricas_total_viajeros;Metricas_media_mensual_viajeros;Metricas_std_mensual_viajeros;Metricas_presion_turistica;Metricas_indice_estacionalidad;Metricas_n_meses;Metricas__meta.fecha_extraccion
42;Soria;7;Castilla y León;Soria;Soria;440215.0;237664.0;M08;M08;42;Soria;M08;M12;M08;M12;80.18;25.47;40.4;34.57;74.205;42;Soria;88747.0;254253.0;21187.75;6140.71944445067;2.8649193775564243;0.2898240466519886;12;2026-09-06T23:46:39.776749
43;Tarragona;9;Cataluña/Catalunya;Tarragona;Tarragona;9598849.0;2757689.0;M08;M08;43;Tarragona;M08;M03;M08;M02;151.75;12.39;135.27;31.38;94.52833333333332;43;Tarragona;822309.0;3321528.0;276794.0;172296.62872710908;4.03926990948658;0.6224724117109081;12;2026-09-06T23:46:39.776749
44;Teruel;2;Aragón;Teruel;Teruel;870828.0;438123.0;M08;M08;44;Teruel;M07;M07;M08;M03;88.41;14.49;46.2;19.91;75.55666666666666;44;Teruel;134545.0;461740.0;38478.333333333336;9519.329907025383;3.431862945482924;0.2473945486297583;12;2026-09-06T23:46:39.776749
45;Toledo;8;Castilla-La Mancha;Toledo;Toledo;1410783.0;832707.0;M10;M10;45;Toledo;M05;M12;M05;M03;101.4;13.79;60.95;29.14;83.94;45;Toledo;709403.0;933499.0;77791.58333333333;17291.97873665093;1.3158937867474485;0.2222859851374357;12;2026-09-06T23:46:39.776749
46;València/Valencia;10;Comunitat Valenciana;València;Valencia;7515872.0;3089514.0;M08;M08;46;ValenciaValència;M07;M12;M07;M12;124.54;15.59;101.31;25.64;102.94083333333333;46;Valencia/València;2589312.0;3754974.0;312914.5;55428.79647472389;1.4501821333234466;0.1771371939450677;12;2026-09-06T23:46:39.776749
47;Valladolid;7;Castilla y León;Valladolid;Valladolid;1086130.0;624119.0;M08;M08;47;Valladolid;M09;M10;M09;M10;90.76;15.5;60.62;28.28;82.40583333333333;47;Valladolid;519361.0;719973.0;59997.75;8947.92620082746;1.386266970373209;0.1491376960107247;12;2026-09-06T23:46:39.776749
48;Bizkaia;16;País Vasco/Euskadi;Bilbao;Vizcaya;3064212.0;1567161.0;M08;M08;48;Bizkaia;M05;M09;M08;M04;140.75;8.22;116.54;12.09;108.83749999999999;48;Bizkaia;1154334.0;1796509.0;149709.08333333334;34800.37825410505;1.5563164560690406;0.2324533520562717;12;2026-09-06T23:46:39.776749
49;Zamora;7;Castilla y León;Zamora;Zamora;326628.0;197822.0;M08;M08;49;Zamora;M07;M03;M08;M03;78.7;12.19;41.71;46.64;71.42;49;Zamora;168725.0;216629.0;18052.416666666668;5197.06113558131;1.2839176174248037;0.2878872802209109;12;2026-09-06T23:46:39.776749
50;Zaragoza;2;Aragón;Zaragoza;Zaragoza;2453780.0;1408789.0;M08;M08;50;Zaragoza;M04;M09;M10;M09;86.0;15.56;60.11;27.03;77.81166666666667;50;Zaragoza;967452.0;1594324.0;132860.33333333334;20871.8957031321;1.6479618627074004;0.1570965176699248;12;2026-09-06T23:46:39.776749
51;Ceuta;18;Ciudad Autónoma de Ceuta;Ceuta;;;;;;51;Ceuta;M07;M03;M08;M01;89.21;16.04;53.77;99.58;79.8575;51;Ceuta;83517.0;62844.0;5237.0;1368.6752719326817;0.75246955709616;0.2613471972374798;12;2026-09-06T23:46:39.776749
52;Melilla;19;Ciudad Autónoma de Melilla;Melilla;;;;;;52;Melilla;M04;M04;M09;M04;92.88;11.48;69.68;49.12;83.765;52;Melilla;86261.0;69053.0;5754.416666666667;1004.7684905971972;0.8005123984187524;0.1746082268281807;12;2026-09-06T23:46:39.776749
