Valor;Localidad;Genero;Metrica;Unidad;COD_INE
123342.0;Alcobendas;Total;Total habitantes;Personas.;28006
319.0;Alcocer;Total;Total habitantes;Personas.;19009
263.0;Alcosser;Total;Total habitantes;Personas.;03007
40.0;Alcocero de Mola;Total;Total habitantes;Personas.;09010
25.0;Alcohujate;Total;Total habitantes;Personas.;16011
829.0;Alcolea;Total;Total habitantes;Personas.;04007
1360.0;Alcolea de Calatrava;Total;Total habitantes;Personas.;13007
1127.0;Alcolea de Cinca;Total;Total habitantes;Personas.;22017
7.0;Alcolea de las Peñas;Total;Total habitantes;Personas.;19010
839.0;Alcolea de Tajo;Total;Total habitantes;Personas.;45007
357.0;Alcolea del Pinar;Total;Total habitantes;Personas.;19011
3265.0;Alcolea del Río;Total;Total habitantes;Personas.;41006
184.0;Alcoleja;Total;Total habitantes;Personas.;03008
3640.0;Alcoletge;Total;Total habitantes;Personas.;25012
259.0;Alcollarín;Total;Total habitantes;Personas.;10009
198.0;Alconaba;Total;Total habitantes;Personas.;42006
130.0;Alconada;Total;Total habitantes;Personas.;37012
23.0;Alconada de Maderuelo;Total;Total habitantes;Personas.;40005
1592.0;Alconchel;Total;Total habitantes;Personas.;06007
79.0;Alconchel de Ariza;Total;Total habitantes;Personas.;50015
75.0;Alconchel de la Estrella;Total;Total habitantes;Personas.;16012
748.0;Alconera;Total;Total habitantes;Personas.;06008
545.0;Alcóntar;Total;Total habitantes;Personas.;04008
10664.0;Alcora, l';Total;Total habitantes;Personas.;12005
175719.0;Alcorcón;Total;Total habitantes;Personas.;28007
3243.0;Alcorisa;Total;Total habitantes;Personas.;44014
117.0;Alcoroches;Total;Total habitantes;Personas.;19013
5362.0;Alcover;Total;Total habitantes;Personas.;43005
61468.0;Alcoi/Alcoy;Total;Total habitantes;Personas.;03009
401.0;Alcubierre;Total;Total habitantes;Personas.;22018
111.0;Alcubilla de Avellaneda;Total;Total habitantes;Personas.;42007
61.0;Alcubilla de las Peñas;Total;Total habitantes;Personas.;42008
108.0;Alcubilla de Nogales;Total;Total habitantes;Personas.;49004
417.0;Alcubillas;Total;Total habitantes;Personas.;13008
710.0;Alcublas;Total;Total habitantes;Personas.;46018
21907.0;Alcúdia;Total;Total habitantes;Personas.;07003
5548.0;Alcúdia de Crespins, l';Total;Total habitantes;Personas.;46020
115.0;Alcudia de Monteagud;Total;Total habitantes;Personas.;04009
200.0;Alcudia de Veo;Total;Total habitantes;Personas.;12006
12587.0;Alcúdia, l';Total;Total habitantes;Personas.;46019
2447.0;Alcuéscar;Total;Total habitantes;Personas.;10010
34630.0;Aldaia;Total;Total habitantes;Personas.;46021
212.0;Aldea de San Miguel;Total;Total habitantes;Personas.;47006
7401.0;Aldea de San Nicolás, La;Total;Total habitantes;Personas.;35020
609.0;Aldea del Cano;Total;Total habitantes;Personas.;10012
3503.0;Aldea del Fresno;Total;Total habitantes;Personas.;28008
245.0;Aldea del Obispo;Total;Total habitantes;Personas.;37015
290.0;Aldea del Obispo, La;Total;Total habitantes;Personas.;10013
1565.0;Aldea del Rey;Total;Total habitantes;Personas.;13009
184.0;Aldea en Cabo;Total;Total habitantes;Personas.;45008
275.0;Aldea Real;Total;Total habitantes;Personas.;40012
4657.0;Aldea, L';Total;Total habitantes;Personas.;43904
603.0;Aldeacentenera;Total;Total habitantes;Personas.;10011
89.0;Aldeacipreste;Total;Total habitantes;Personas.;37013
1094.0;Aldeadávila de la Ribera;Total;Total habitantes;Personas.;37014
85.0;Aldealafuente;Total;Total habitantes;Personas.;42009
15.0;Aldealcorvo;Total;Total habitantes;Personas.;40006
730.0;Aldealengua;Total;Total habitantes;Personas.;37016
78.0;Aldealengua de Pedraza;Total;Total habitantes;Personas.;40007
50.0;Aldealengua de Santa María;Total;Total habitantes;Personas.;40008
22.0;Aldealices;Total;Total habitantes;Personas.;42010
18.0;Aldealpozo;Total;Total habitantes;Personas.;42011
29.0;Aldealseñor;Total;Total habitantes;Personas.;42012
6290.0;Aldeamayor de San Martín;Total;Total habitantes;Personas.;47007
456.0;Aldeanueva de Barbarroya;Total;Total habitantes;Personas.;45009
2753.0;Aldeanueva de Ebro;Total;Total habitantes;Personas.;26008
238.0;Aldeanueva de Figueroa;Total;Total habitantes;Personas.;37017
107.0;Aldeanueva de Guadalajara;Total;Total habitantes;Personas.;19015
42.0;Aldeanueva de la Serrezuela;Total;Total habitantes;Personas.;40009
88.0;Aldeanueva de la Sierra;Total;Total habitantes;Personas.;37018
1966.0;Aldeanueva de la Vera;Total;Total habitantes;Personas.;10014
404.0;Aldeanueva de San Bartolomé;Total;Total habitantes;Personas.;45010
100.0;Aldeanueva de Santa Cruz;Total;Total habitantes;Personas.;05007
696.0;Aldeanueva del Camino;Total;Total habitantes;Personas.;10015
105.0;Aldeanueva del Codonal;Total;Total habitantes;Personas.;40010
446.0;Aldeaquemada;Total;Total habitantes;Personas.;23004
143.0;Aldearrodrigo;Total;Total habitantes;Personas.;37019
518.0;Aldearrubia;Total;Total habitantes;Personas.;37020
211.0;Aldeaseca;Total;Total habitantes;Personas.;05008
65.0;Aldeaseca de Alba;Total;Total habitantes;Personas.;37021
241.0;Aldeaseca de la Frontera;Total;Total habitantes;Personas.;37022
61.0;Aldeasoña;Total;Total habitantes;Personas.;40013
2662.0;Aldeatejada;Total;Total habitantes;Personas.;37023
100.0;Aldeavieja de Tormes;Total;Total habitantes;Personas.;37024
64.0;Aldehorno;Total;Total habitantes;Personas.;40014
348.0;Aldehuela del Jerte;Total;Total habitantes;Personas.;10016
260.0;Aldehuela de la Bóveda;Total;Total habitantes;Personas.;37025
48.0;Aldehuela de Liestos;Total;Total habitantes;Personas.;50016
27.0;Aldehuela de Periáñez;Total;Total habitantes;Personas.;42013
176.0;Aldehuela de Yeltes;Total;Total habitantes;Personas.;37026
24.0;Aldehuela del Codonal;Total;Total habitantes;Personas.;40015
141.0;Aldehuela, La;Total;Total habitantes;Personas.;05010
58.0;Aldehuelas, Las;Total;Total habitantes;Personas.;42014
597.0;Aldeire;Total;Total habitantes;Personas.;18010
55.0;Aldeonte;Total;Total habitantes;Personas.;40016
901.0;Aldover;Total;Total habitantes;Personas.;43006
1123.0;Aledo;Total;Total habitantes;Personas.;30006
1813.0;Alegia;Total;Total habitantes;Personas.;20005
2955.0;Alegría-Dulantzi;Total;Total habitantes;Personas.;01001
1009.0;Aleixar, L';Total;Total habitantes;Personas.;43007
10262.0;Alella;Total;Total habitantes;Personas.;08003
23.0;Alentisque;Total;Total habitantes;Personas.;42015
224.0;Alerre;Total;Total habitantes;Personas.;22019
486.0;Alesanco;Total;Total habitantes;Personas.;26009
92.0;Alesón;Total;Total habitantes;Personas.;26010
5834.0;Alfacar;Total;Total habitantes;Personas.;18011
22270.0;Alfafar;Total;Total habitantes;Personas.;46022
419.0;Alfafara;Total;Total habitantes;Personas.;03010
2423.0;Alfajarín;Total;Total habitantes;Personas.;50017
485.0;Alfambra;Total;Total habitantes;Personas.;44016
1470.0;Alfamén;Total;Total habitantes;Personas.;50018
125.0;Alfántega;Total;Total habitantes;Personas.;22020
355.0;Alfara de Carles;Total;Total habitantes;Personas.;43008
624.0;Alfara de la Baronia;Total;Total habitantes;Personas.;46024
3740.0;Alfara del Patriarca;Total;Total habitantes;Personas.;46025
120.0;Alfaraz de Sayago;Total;Total habitantes;Personas.;49005
1034.0;Alfarnate;Total;Total habitantes;Personas.;29003
358.0;Alfarnatejo;Total;Total habitantes;Personas.;29004
9923.0;Alfaro;Total;Total habitantes;Personas.;26011
1763.0;Alfarb;Total;Total habitantes;Personas.;46026
2805.0;Alfarràs;Total;Total habitantes;Personas.;25013
1173.0;Alfarrasí;Total;Total habitantes;Personas.;46027
21080.0;Alfàs del Pi, l';Total;Total habitantes;Personas.;03011
515.0;Alfauir;Total;Total habitantes;Personas.;46023
284.0;Alfés;Total;Total habitantes;Personas.;25014
881.0;Alfondeguilla;Total;Total habitantes;Personas.;12007
2024.0;Alforja;Total;Total habitantes;Personas.;43009
57.0;Alforque;Total;Total habitantes;Personas.;50019
1493.0;Alfoz;Total;Total habitantes;Personas.;27002
68.0;Alfoz de Bricia;Total;Total habitantes;Personas.;09011
2500.0;Alfoz de Lloredo;Total;Total habitantes;Personas.;39001
2158.0;Alfoz de Quintanadueñas;Total;Total habitantes;Personas.;09907
102.0;Alfoz de Santa Gadea;Total;Total habitantes;Personas.;09012
16803.0;Algaba, La;Total;Total habitantes;Personas.;41007
312.0;Algadefe;Total;Total habitantes;Personas.;24002
6357.0;Algaida;Total;Total habitantes;Personas.;07004
1258.0;Algámitas;Total;Total habitantes;Personas.;41008
1452.0;Algar;Total;Total habitantes;Personas.;11003
44.0;Algar de Mesa;Total;Total habitantes;Personas.;19016
565.0;Algar de Palància;Total;Total habitantes;Personas.;46028
2335.0;Algarinejo;Total;Total habitantes;Personas.;18012
25.0;Algarra;Total;Total habitantes;Personas.;16013
7103.0;Algarrobo;Total;Total habitantes;Personas.;29005
816.0;Algatocín;Total;Total habitantes;Personas.;29006
126589.0;Algeciras;Total;Total habitantes;Personas.;11004
28306.0;Algemesí;Total;Total habitantes;Personas.;46029
424.0;Algerri;Total;Total habitantes;Personas.;25015
21144.0;Algete;Total;Total habitantes;Personas.;28009
1115.0;Algímia d'Alfara;Total;Total habitantes;Personas.;46030
254.0;Algimia de Almonacid;Total;Total habitantes;Personas.;12008
14844.0;Alginet;Total;Total habitantes;Personas.;46031
5425.0;Algodonales;Total;Total habitantes;Personas.;11005
131.0;Algodre;Total;Total habitantes;Personas.;49006
89.0;Algora;Total;Total habitantes;Personas.;19017
3788.0;Algorfa;Total;Total habitantes;Personas.;03012
3060.0;Alguaire;Total;Total habitantes;Personas.;25016
10431.0;Alguazas;Total;Total habitantes;Personas.;30007
1328.0;Algueña;Total;Total habitantes;Personas.;03013
743.0;Alhabia;Total;Total habitantes;Personas.;04010
3975.0;Alhama de Almería;Total;Total habitantes;Personas.;04011
917.0;Alhama de Aragón;Total;Total habitantes;Personas.;50020
5544.0;Alhama de Granada;Total;Total habitantes;Personas.;18013
24163.0;Alhama de Murcia;Total;Total habitantes;Personas.;30008
946.0;Alhambra;Total;Total habitantes;Personas.;13010
45066.0;Alhaurín de la Torre;Total;Total habitantes;Personas.;29007
27552.0;Alhaurín el Grande;Total;Total habitantes;Personas.;29008
10475.0;Alhendín;Total;Total habitantes;Personas.;18014
185.0;Alhóndiga;Total;Total habitantes;Personas.;19018
722.0;Alía;Total;Total habitantes;Personas.;10017
344.0;Aliaga;Total;Total habitantes;Personas.;44017
594.0;Aliaguilla;Total;Total habitantes;Personas.;16014
366221.0;Alacant/Alicante;Total;Total habitantes;Personas.;03014
206.0;Alicún;Total;Total habitantes;Personas.;04012
461.0;Alicún de Ortega;Total;Total habitantes;Personas.;18015
554.0;Alija del Infantado;Total;Total habitantes;Personas.;24003
269.0;Alins;Total;Total habitantes;Personas.;25017
496.0;Alió;Total;Total habitantes;Personas.;43010
15.0;Alique;Total;Total habitantes;Personas.;19019
1726.0;Aliseda;Total;Total habitantes;Personas.;10018
20.0;Aliud;Total;Total habitantes;Personas.;42016
22737.0;Aljaraque;Total;Total habitantes;Personas.;21002
252.0;Aljucén;Total;Total habitantes;Personas.;06009
352.0;Alkiza;Total;Total habitantes;Personas.;20006
1506.0;Allande;Total;Total habitantes;Personas.;33001
6497.0;Allariz;Total;Total habitantes;Personas.;32001
123.0;Allepuz;Total;Total habitantes;Personas.;44021
10011.0;Aller;Total;Total habitantes;Personas.;33002
881.0;Allín/Allin;Total;Total habitantes;Personas.;31011
1028.0;Allo;Total;Total habitantes;Personas.;31012
556.0;Alloza;Total;Total habitantes;Personas.;44022
31.0;Allueva;Total;Total habitantes;Personas.;44023
7018.0;Almacelles;Total;Total habitantes;Personas.;25019
1959.0;Almáchar;Total;Total habitantes;Personas.;29009
4855.0;Almadén;Total;Total habitantes;Personas.;13011
1328.0;Almadén de la Plata;Total;Total habitantes;Personas.;41009
384.0;Almadenejos;Total;Total habitantes;Personas.;13012
67.0;Almadrones;Total;Total habitantes;Personas.;19020
9190.0;Almagro;Total;Total habitantes;Personas.;13013
179.0;Almajano;Total;Total habitantes;Personas.;42017
113.0;Almaluez;Total;Total habitantes;Personas.;42018
24615.0;Almansa;Total;Total habitantes;Personas.;02009
570.0;Almanza;Total;Total habitantes;Personas.;24004
1594.0;Almaraz;Total;Total habitantes;Personas.;10019
