COD_PROV,PROVINCIA,Anyo,Periodo,pernoctaciones,viajeros,_meta.fecha_extraccion
14,Córdoba,2026,M07,5476.0,2008.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M01,1014.0,555.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M02,1210.0,839.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M03,1671.0,1205.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M04,5086.0,3610.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M05,6752.0,4793.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M06,7123.0,4500.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M07,14389.0,6369.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M08,22690.0,9290.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M09,9508.0,5437.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M10,5521.0,3282.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M11,2833.0,2076.0,2026-09-14T13:39:22.163107
15,A Coruña,2025,M12,2478.0,1485.0,2026-09-14T13:39:22.163107
15,A Coruña,2026,M01,1017.0,727.0,2026-09-14T13:39:22.163107
15,A Coruña,2026,M02,1063.0,709.0,2026-09-14T13:39:22.163107
15,A Coruña,2026,M03,1762.0,1176.0,2026-09-14T13:39:22.163107
15,A Coruña,2026,M04,3620.0,2474.0,2026-09-14T13:39:22.163107
15,A Coruña,2026,M05,4274.0,3072.0,2026-09-14T13:39:22.163107
15,A Coruña,2026,M06,7311.0,4507.0,2026-09-14T13:39:22.163107
15,A Coruña,2026,M07,16522.0,6788.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M01,7338.0,3704.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M02,10143.0,5461.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M03,9974.0,5388.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M04,17828.0,7920.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M05,15454.0,7544.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M06,14757.0,7204.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M07,21667.0,7568.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M08,33542.0,12003.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M09,17033.0,8181.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M10,16395.0,8328.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M11,12618.0,6813.0,2026-09-14T13:39:22.163107
16,Cuenca,2025,M12,17858.0,8105.0,2026-09-14T13:39:22.163107
16,Cuenca,2026,M01,6368.0,2785.0,2026-09-14T13:39:22.163107
16,Cuenca,2026,M02,8566.0,4076.0,2026-09-14T13:39:22.163107
16,Cuenca,2026,M03,11681.0,5239.0,2026-09-14T13:39:22.163107
16,Cuenca,2026,M04,17091.0,6709.0,2026-09-14T13:39:22.163107
16,Cuenca,2026,M05,14786.0,6677.0,2026-09-14T13:39:22.163107
16,Cuenca,2026,M06,17340.0,7382.0,2026-09-14T13:39:22.163107
16,Cuenca,2026,M07,22335.0,8343.0,2026-09-14T13:39:22.163107
17,Girona,2025,M01,18621.0,9998.0,2026-09-14T13:39:22.163107
17,Girona,2025,M02,18228.0,9526.0,2026-09-14T13:39:22.163107
17,Girona,2025,M03,23339.0,11382.0,2026-09-14T13:39:22.163107
17,Girona,2025,M04,30835.0,13278.0,2026-09-14T13:39:22.163107
17,Girona,2025,M05,30478.0,14597.0,2026-09-14T13:39:22.163107
17,Girona,2025,M06,40144.0,15924.0,2026-09-14T13:39:22.163107
17,Girona,2025,M07,47673.0,15201.0,2026-09-14T13:39:22.163107
17,Girona,2025,M08,78532.0,16905.0,2026-09-14T13:39:22.163107
17,Girona,2025,M09,32182.0,13503.0,2026-09-14T13:39:22.163107
17,Girona,2025,M10,28450.0,14596.0,2026-09-14T13:39:22.163107
17,Girona,2025,M11,26272.0,13368.0,2026-09-14T13:39:22.163107
17,Girona,2025,M12,36819.0,13851.0,2026-09-14T13:39:22.163107
17,Girona,2026,M01,18612.0,8567.0,2026-09-14T13:39:22.163107
17,Girona,2026,M02,18631.0,9323.0,2026-09-14T13:39:22.163107
17,Girona,2026,M03,20221.0,10068.0,2026-09-14T13:39:22.163107
17,Girona,2026,M04,34065.0,15922.0,2026-09-14T13:39:22.163107
17,Girona,2026,M05,31841.0,14987.0,2026-09-14T13:39:22.163107
17,Girona,2026,M06,40267.0,17915.0,2026-09-14T13:39:22.163107
17,Girona,2026,M07,46697.0,16680.0,2026-09-14T13:39:22.163107
