COD_PROV,PROVINCIA,Anyo,Periodo,establecimientos_abiertos,grado_ocupacion_finsemana,grado_ocupacion_habitaciones,grado_ocupacion_plazas,plazas_estimadas,_meta.fecha_extraccion
07,"Balears, Illes",2025,M03,411.0,58.67,64.88,56.31,79686.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M04,702.0,69.33,74.42,68.32,172315.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M05,1298.0,70.35,75.79,68.53,366997.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M06,1375.0,83.1,87.28,81.6,378748.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M07,1377.0,87.32,89.22,86.65,379156.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M08,1381.0,88.69,91.66,89.61,379728.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M09,1381.0,82.97,89.35,81.58,379589.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M10,1119.0,69.2,71.98,66.54,326205.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M11,212.0,51.3,58.72,47.29,30806.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2025,M12,165.0,44.71,48.39,40.71,24178.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2026,M01,146.0,43.49,46.16,36.59,22909.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2026,M02,205.0,54.28,61.06,50.17,41487.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2026,M03,401.0,53.59,62.63,53.26,96389.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2026,M04,719.0,65.97,73.19,65.8,186028.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2026,M05,1268.0,73.92,79.76,73.46,360203.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2026,M06,1345.0,82.67,87.54,82.5,371562.0,2026-09-14T13:39:16.852415
07,"Balears, Illes",2026,M07,1347.0,86.04,89.69,87.37,370216.0,2026-09-14T13:39:16.852415
08,Barcelona,2024,M08,1187.0,79.73,83.68,78.65,160451.0,2026-09-14T13:39:16.852415
08,Barcelona,2024,M09,1181.0,71.87,82.45,68.58,160788.0,2026-09-14T13:39:16.852415
08,Barcelona,2024,M10,1176.0,70.48,78.52,65.99,151515.0,2026-09-14T13:39:16.852415
08,Barcelona,2024,M11,1082.0,62.92,72.51,56.78,126204.0,2026-09-14T13:39:16.852415
08,Barcelona,2024,M12,1055.0,57.86,57.48,49.85,122087.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M01,1001.0,52.74,60.33,47.82,122836.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M02,1071.0,61.81,69.62,55.55,125118.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M03,1094.0,63.71,71.86,57.31,131582.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M04,1127.0,69.25,76.91,66.74,140587.0,2026-09-14T13:39:16.852415
