COD_PROV,PROVINCIA,Anyo,Periodo,establecimientos_abiertos,grado_ocupacion_finsemana,grado_ocupacion_habitaciones,grado_ocupacion_plazas,plazas_estimadas,_meta.fecha_extraccion
07,"Balears, Illes",2024,M11,201.0,36.98,37.7,32.79,3890.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2024,M12,155.0,40.08,37.34,32.53,3102.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M01,94.0,31.21,38.37,29.32,1926.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M02,129.0,42.46,49.42,41.95,2589.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M03,280.0,44.7,46.52,40.37,5812.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M04,437.0,52.42,55.39,50.28,9511.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M05,545.0,49.87,57.09,49.53,11492.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M06,564.0,65.6,70.96,62.28,12027.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M07,582.0,65.09,72.66,65.52,12200.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M08,575.0,67.36,78.14,71.31,12207.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M09,579.0,67.72,74.12,65.9,12195.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M10,506.0,52.53,60.68,51.38,10519.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M11,175.0,39.91,46.44,38.22,3471.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2025,M12,157.0,38.22,41.41,35.23,2851.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2026,M01,115.0,23.08,36.76,28.81,2059.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2026,M02,132.0,42.63,48.52,40.56,2359.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2026,M03,275.0,38.07,47.39,37.78,5848.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2026,M04,437.0,51.16,57.17,48.7,9416.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2026,M05,566.0,51.0,62.53,53.28,11969.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2026,M06,581.0,67.9,75.67,67.29,12319.0,2026-09-14T13:39:21.195883
07,"Balears, Illes",2026,M07,572.0,67.38,76.45,69.02,12224.0,2026-09-14T13:39:21.195883
08,Barcelona,2024,M08,567.0,50.29,59.99,47.69,5075.0,2026-09-14T13:39:21.195883
08,Barcelona,2024,M09,577.0,55.61,26.85,21.85,5288.0,2026-09-14T13:39:21.195883
08,Barcelona,2024,M10,558.0,60.71,28.08,20.93,5110.0,2026-09-14T13:39:21.195883
08,Barcelona,2024,M11,539.0,47.5,23.23,17.79,4944.0,2026-09-14T13:39:21.195883
08,Barcelona,2024,M12,528.0,44.11,29.91,24.51,4811.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M01,377.0,31.07,15.3,11.73,3400.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M02,365.0,38.45,23.59,14.87,3434.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M03,460.0,43.3,23.03,17.56,4157.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M04,529.0,43.84,29.1,21.7,4788.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M05,518.0,53.06,34.85,25.3,4679.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M06,562.0,52.44,36.38,25.92,5037.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M07,554.0,54.9,45.44,36.37,4943.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M08,526.0,51.4,64.46,48.04,4775.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M09,542.0,55.0,32.79,24.73,4880.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M10,500.0,57.74,32.18,22.95,4568.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M11,525.0,48.18,25.89,18.91,4797.0,2026-09-14T13:39:21.195883
08,Barcelona,2025,M12,542.0,41.69,30.58,23.63,4802.0,2026-09-14T13:39:21.195883
08,Barcelona,2026,M01,524.0,32.59,20.11,14.42,4870.0,2026-09-14T13:39:21.195883
08,Barcelona,2026,M02,533.0,42.93,20.12,14.39,4885.0,2026-09-14T13:39:21.195883
08,Barcelona,2026,M03,528.0,50.04,22.63,16.62,4731.0,2026-09-14T13:39:21.195883
08,Barcelona,2026,M04,581.0,49.45,27.39,20.62,5286.0,2026-09-14T13:39:21.195883
08,Barcelona,2026,M05,581.0,53.25,35.03,24.32,5347.0,2026-09-14T13:39:21.195883
08,Barcelona,2026,M06,533.0,66.71,30.82,24.38,4817.0,2026-09-14T13:39:21.195883
08,Barcelona,2026,M07,533.0,58.49,50.42,42.87,4674.0,2026-09-14T13:39:21.195883
09,Burgos,2024,M08,432.0,43.43,47.32,37.14,4730.0,2026-09-14T13:39:21.195883
09,Burgos,2024,M09,416.0,43.84,26.87,20.98,4576.0,2026-09-14T13:39:21.195883
09,Burgos,2024,M10,410.0,43.79,25.6,21.78,4498.0,2026-09-14T13:39:21.195883
09,Burgos,2024,M11,413.0,40.71,20.32,16.57,4415.0,2026-09-14T13:39:21.195883
09,Burgos,2024,M12,376.0,43.18,25.38,21.35,4037.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M01,285.0,14.34,9.28,8.04,2883.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M02,319.0,25.96,12.87,10.13,3304.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M03,343.0,32.47,19.43,14.85,3558.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M04,360.0,43.82,28.23,21.48,4029.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M05,388.0,43.33,29.17,22.22,4278.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M06,384.0,39.73,24.69,18.54,4207.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M07,407.0,40.92,37.15,26.77,4341.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M08,409.0,40.8,48.59,38.04,4363.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M09,363.0,39.86,29.13,22.78,3935.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M10,376.0,43.46,30.87,21.08,3986.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M11,369.0,39.03,24.11,18.34,3891.0,2026-09-14T13:39:21.195883
09,Burgos,2025,M12,379.0,38.62,24.35,19.32,3933.0,2026-09-14T13:39:21.195883
09,Burgos,2026,M01,290.0,16.62,13.71,8.92,2889.0,2026-09-14T13:39:21.195883
09,Burgos,2026,M02,361.0,29.74,16.61,10.86,3848.0,2026-09-14T13:39:21.195883
09,Burgos,2026,M03,365.0,28.43,15.8,11.06,3958.0,2026-09-14T13:39:21.195883
09,Burgos,2026,M04,381.0,48.02,32.29,23.05,4191.0,2026-09-14T13:39:21.195883
09,Burgos,2026,M05,400.0,41.89,31.28,23.38,4350.0,2026-09-14T13:39:21.195883
09,Burgos,2026,M06,419.0,33.44,20.52,14.52,4606.0,2026-09-14T13:39:21.195883
09,Burgos,2026,M07,403.0,40.75,38.29,26.98,4439.0,2026-09-14T13:39:21.195883
10,Cáceres,2024,M08,675.0,41.4,39.67,32.35,7826.0,2026-09-14T13:39:21.195883
10,Cáceres,2024,M09,681.0,28.42,20.37,14.86,7683.0,2026-09-14T13:39:21.195883
10,Cáceres,2024,M10,659.0,25.87,17.83,11.64,7551.0,2026-09-14T13:39:21.195883
10,Cáceres,2024,M11,669.0,23.56,17.1,11.83,7567.0,2026-09-14T13:39:21.195883
10,Cáceres,2024,M12,631.0,25.95,18.41,13.68,7216.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M01,579.0,15.15,12.86,7.33,6552.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M02,605.0,30.81,17.91,12.88,6942.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M03,670.0,30.52,19.11,13.87,7676.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M04,693.0,38.71,33.45,24.94,8013.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M05,678.0,29.71,24.79,17.63,7913.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M06,675.0,36.07,28.48,19.0,7792.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M07,680.0,43.02,37.74,27.19,7886.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M08,645.0,42.33,45.63,34.94,7556.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M09,654.0,33.24,25.33,17.87,7547.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M10,675.0,27.61,20.34,13.77,7680.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M11,668.0,26.24,18.43,12.55,7458.0,2026-09-14T13:39:21.195883
10,Cáceres,2025,M12,656.0,26.62,19.52,14.4,7205.0,2026-09-14T13:39:21.195883
10,Cáceres,2026,M01,637.0,15.47,13.27,8.56,6701.0,2026-09-14T13:39:21.195883
10,Cáceres,2026,M02,642.0,21.57,14.4,10.04,6842.0,2026-09-14T13:39:21.195883
10,Cáceres,2026,M03,667.0,30.63,20.83,15.66,7289.0,2026-09-14T13:39:21.195883
10,Cáceres,2026,M04,707.0,37.1,29.64,22.55,7747.0,2026-09-14T13:39:21.195883
10,Cáceres,2026,M05,703.0,34.3,23.68,18.45,7700.0,2026-09-14T13:39:21.195883
10,Cáceres,2026,M06,719.0,32.95,23.47,17.22,7834.0,2026-09-14T13:39:21.195883
10,Cáceres,2026,M07,697.0,39.16,30.9,25.63,7805.0,2026-09-14T13:39:21.195883
11,Cádiz,2024,M08,90.0,42.8,56.49,36.53,1190.0,2026-09-14T13:39:21.195883
11,Cádiz,2024,M09,100.0,36.47,26.31,19.14,1329.0,2026-09-14T13:39:21.195883
11,Cádiz,2024,M10,98.0,31.2,20.37,15.66,1275.0,2026-09-14T13:39:21.195883
11,Cádiz,2024,M11,91.0,32.14,20.81,15.21,1194.0,2026-09-14T13:39:21.195883
11,Cádiz,2024,M12,84.0,25.45,18.37,13.96,1066.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M01,93.0,20.42,12.63,9.52,1128.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M02,98.0,28.64,14.98,12.59,1201.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M03,100.0,21.98,15.68,12.07,1258.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M04,103.0,41.87,31.5,24.08,1257.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M05,100.0,38.1,26.59,21.28,1279.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M06,102.0,38.19,25.36,20.68,1281.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M07,96.0,45.11,35.75,27.99,1223.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M08,98.0,49.19,55.51,42.11,1249.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M09,99.0,41.67,29.53,23.86,1280.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M10,98.0,37.16,22.58,19.09,1270.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M11,93.0,35.31,21.0,15.72,1205.0,2026-09-14T13:39:21.195883
11,Cádiz,2025,M12,88.0,23.98,16.38,13.76,1177.0,2026-09-14T13:39:21.195883
11,Cádiz,2026,M01,81.0,21.88,15.24,12.17,1084.0,2026-09-14T13:39:21.195883
11,Cádiz,2026,M02,86.0,32.21,20.97,17.77,1180.0,2026-09-14T13:39:21.195883
11,Cádiz,2026,M03,101.0,33.63,26.38,19.21,1283.0,2026-09-14T13:39:21.195883
11,Cádiz,2026,M04,106.0,43.35,34.54,25.84,1334.0,2026-09-14T13:39:21.195883
11,Cádiz,2026,M05,102.0,38.2,32.34,26.39,1319.0,2026-09-14T13:39:21.195883
11,Cádiz,2026,M06,106.0,40.51,32.91,24.62,1364.0,2026-09-14T13:39:21.195883
11,Cádiz,2026,M07,91.0,43.25,36.3,29.65,1213.0,2026-09-14T13:39:21.195883
